Country,code,density,population
Nigeria,NGA,192,182202000
Ethiopia,ETH,88,99391000
Egypt,EGY,87,91508000
"Congo, Democratic Republic of the",COD,33,77267000
South Africa,ZAF,40,54490000
Tanzania,TZA,52,53470000
Kenya,KEN,78,46050000
Sudan,SDN,19,40235000
Algeria,DZA,16,39667000
Uganda,UGA,149,39032000
Morocco,MAR,74,34378000
Mozambique,MOZ,31,27978000
Ghana,GHA,108,27410000
Angola,AGO,15,25022000
Madagascar,MDG,40,24235000
Cameroon,CMR,49,23344000
Cote d'Ivoire,CIV,71,22702000
Niger,NER,14,19899000
Burkina Faso,BFA,67,18106000
Mali,MLI,13,17600000
Malawi,MWI,147,17215000
Zambia,ZMB,19,16212000
Zimbabwe,ZWE,35,15603000
Senegal,SEN,69,15129000
Chad,TCD,9,14037000
Guinea,GIN,47,12609000
Rwanda,RWA,468,11610000
Tunisia,TUN,67,11254000
Burundi,BDI,374,11179000
Benin,BEN,90,10880000
Somalia,SOM,16,10787000
Togo,TGO,129,7305000
Sierra Leone,SLE,80,6453000
Libya,LBY,4,6278000
Eritrea,ERI,54,5228000
Central African Republic,CAF,8,4900000
"Congo, Republic of the",COG,14,4620000
Liberia,LBR,37,4503000
Mauritania,MRT,3,4068000
Namibia,NAM,3,2459000
Botswana,BWA,4,2262000
Lesotho,LSO,64,2135000
"Gambia, The",GMB,170,1991000
Guinea-Bissau,GNB,47,1844000
Gabon,GAB,6,1725000
Swaziland,SWZ,82,1287000
Djibouti,DJI,35,888000
Equatorial Guinea,GNQ,26,845000
Comoros,COM,343,788000
Western Sahara,SAH,2,573000
Cape Verde,CPV,134,521000
Sao Tome and Principe,STP,198,190000
South Sudan,SDS,19,12340000
Somaliland,SOL,25,4000000
